TestID,Category,Module / Page,Test Case,Method,Environment,Status,Observed Result (evidence),Executed At
MOB-STATIC-00001,Compatibility,Dashboard,safe area insets used,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found useSafeAreaInsets() in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.859Z
MOB-STATIC-00002,UI/UX,Dashboard,keyboard avoiding view present,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No TextInput on this screen — nothing to avoid,2026-07-29T06:26:49.859Z
MOB-STATIC-00003,Functional,Dashboard,async calls have error handling,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No async data-fetch calls on this screen,2026-07-29T06:26:49.861Z
MOB-STATIC-00004,Accessibility,Dashboard,interactive elements have accessibility hooks,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,1 accessibilityLabel/testID attribute(s) found across 9 touchable element(s) in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.861Z
MOB-STATIC-00005,Functional,Dashboard,no leftover debug markers,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No console.log/TODO/FIXME markers found,2026-07-29T06:26:49.862Z
MOB-STATIC-00006,Code Quality,Dashboard,uses stylesheet create,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found StyleSheet.create( in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.862Z
MOB-STATIC-00007,UI/UX,Dashboard,shows loading state during fetch,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found ActivityIndicator/SkeletonLoader in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.862Z
MOB-STATIC-00008,UI/UX,Dashboard,handles empty state when no data,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Fail,No empty-state handling pattern in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.864Z
MOB-STATIC-00009,Functional,Dashboard,flatlist or sectionlist has key extractor,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No FlatList/SectionList on this screen,2026-07-29T06:26:49.864Z
MOB-STATIC-00010,Code Quality,Dashboard,typed props or navigation defined,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found typed Props/navigation generic in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.864Z
MOB-STATIC-00011,Code Quality,Dashboard,no untyped any usage,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No untyped `: any` usage,2026-07-29T06:26:49.865Z
MOB-STATIC-00012,Mobile-Specific,Dashboard,screen has testid coverage,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Fail,No testID attribute(s) in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.865Z
MOB-STATIC-00013,Functional,Dashboard,imports service layer not raw fetch,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,"services/hooks/context import=True, raw fetch()=not used in screens/main/DashboardScreen.tsx",2026-07-29T06:26:49.865Z
MOB-STATIC-00014,Mobile-Specific,Dashboard,no hardcoded backend url in screen,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No literal http(s):// URL in screen source,2026-07-29T06:26:49.865Z
MOB-STATIC-00015,UI/UX,Dashboard,uses theme hook for colors,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found useTheme() call in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.865Z
MOB-STATIC-00016,UI/UX,Dashboard,touchables have active opacity or pressable,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,activeOpacity=/Pressable present in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.865Z
MOB-STATIC-00017,Accessibility,Dashboard,accessibility role declared on touchables,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found accessibilityRole= among 9 touchable(s) in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.865Z
MOB-STATIC-00018,Compatibility,Dashboard,safe area inset applied to layout,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found insets.top/insets.bottom usage in a style/layout in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.865Z
MOB-STATIC-00019,UI/UX,Dashboard,email input has correct keyboard type,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No email-labeled input on this screen,2026-07-29T06:26:49.867Z
MOB-STATIC-00020,Security,Dashboard,password inputs use secure text entry,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No password-labeled input on this screen,2026-07-29T06:26:49.867Z
MOB-STATIC-00021,Mobile-Specific,Dashboard,animated values use native driver,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,useNativeDriver: true present in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.867Z
MOB-STATIC-00022,Code Quality,Dashboard,component has default export,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found export default in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.867Z
MOB-STATIC-00023,Functional,Dashboard,screen registered in a navigator,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found import/reference of DashboardScreen in navigation/*Navigator.tsx,2026-07-29T06:26:49.867Z
MOB-STATIC-00024,Code Quality,Dashboard,uses react fc typed component,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found `: React.FC` typed component declaration in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.867Z
MOB-STATIC-00025,Functional,Dashboard,list items have stable keys in map,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,key={...} present alongside .map( in screens/main/DashboardScreen.tsx,2026-07-29T06:26:49.867Z
