TestID,Category,Module / Page,Test Case,Method,Environment,Status,Observed Result (evidence),Executed At
MOB-STATIC-00001,Compatibility,Dashboard,safe area insets used,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found useSafeAreaInsets() in screens/main/DashboardScreen.tsx,2026-07-21T22:35:01.063Z
MOB-STATIC-00002,UI/UX,Dashboard,keyboard avoiding view present,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No TextInput on this screen — nothing to avoid,2026-07-21T22:35:01.063Z
MOB-STATIC-00003,Functional,Dashboard,async calls have error handling,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No async data-fetch calls on this screen,2026-07-21T22:35:01.064Z
MOB-STATIC-00004,Accessibility,Dashboard,interactive elements have accessibility hooks,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,1 accessibilityLabel/testID attribute(s) found across 9 touchable element(s) in screens/main/DashboardScreen.tsx,2026-07-21T22:35:01.064Z
MOB-STATIC-00005,Functional,Dashboard,no leftover debug markers,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No console.log/TODO/FIXME markers found,2026-07-21T22:35:01.065Z
MOB-STATIC-00006,Compatibility,Sleep Tracker,safe area insets used,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found useSafeAreaInsets() in screens/main/SleepScreen.tsx,2026-07-21T22:35:01.065Z
MOB-STATIC-00007,UI/UX,Sleep Tracker,keyboard avoiding view present,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,KeyboardAvoidingView wraps the input field(s) in screens/main/SleepScreen.tsx,2026-07-21T22:35:01.065Z
MOB-STATIC-00008,Functional,Sleep Tracker,async calls have error handling,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,try/catch present around async calls in screens/main/SleepScreen.tsx,2026-07-21T22:35:01.065Z
MOB-STATIC-00009,Accessibility,Sleep Tracker,interactive elements have accessibility hooks,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,4 accessibilityLabel/testID attribute(s) found across 8 touchable element(s) in screens/main/SleepScreen.tsx,2026-07-21T22:35:01.065Z
MOB-STATIC-00010,Functional,Sleep Tracker,no leftover debug markers,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No console.log/TODO/FIXME markers found,2026-07-21T22:35:01.066Z
MOB-STATIC-00011,Compatibility,Emotion Analysis,safe area insets used,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found useSafeAreaInsets() in screens/main/EmotionScreen.tsx,2026-07-21T22:35:01.066Z
MOB-STATIC-00012,UI/UX,Emotion Analysis,keyboard avoiding view present,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,KeyboardAvoidingView wraps the input field(s) in screens/main/EmotionScreen.tsx,2026-07-21T22:35:01.066Z
MOB-STATIC-00013,Functional,Emotion Analysis,async calls have error handling,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,try/catch present around async calls in screens/main/EmotionScreen.tsx,2026-07-21T22:35:01.066Z
MOB-STATIC-00014,Accessibility,Emotion Analysis,interactive elements have accessibility hooks,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,7 accessibilityLabel/testID attribute(s) found across 14 touchable element(s) in screens/main/EmotionScreen.tsx,2026-07-21T22:35:01.067Z
MOB-STATIC-00015,Functional,Emotion Analysis,no leftover debug markers,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,No console.log/TODO/FIXME markers found,2026-07-21T22:35:01.067Z
MOB-STATIC-00016,Compatibility,Activity Tracker,safe area insets used,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,Found useSafeAreaInsets() in screens/main/ActivityScreen.tsx,2026-07-21T22:35:01.067Z
MOB-STATIC-00017,UI/UX,Activity Tracker,keyboard avoiding view present,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,KeyboardAvoidingView wraps the input field(s) in screens/main/ActivityScreen.tsx,2026-07-21T22:35:01.067Z
MOB-STATIC-00018,Functional,Activity Tracker,async calls have error handling,Static Analysis,"Mobile source (React Native/Expo) — static analysis, no device needed",Pass,try/catch present around async calls in screens/main/ActivityScreen.tsx,2026-07-21T22:35:01.067Z
